run_id,generation,condition,task_id,family,score,verdict_ok,missing_ok,claims_ok,fatal
RA__cst_plus_lean__01,A,cst_plus_lean,HF-METRIC-A,HF-METRIC,0.0,0,0,0,0
RA__cst_plus_lean__01,A,cst_plus_lean,HF-REFLECTION-A,HF-REFLECTION,0.0,0,0,0,0
RA__cst_plus_lean__01,A,cst_plus_lean,HF-ORDER-A,HF-ORDER,0.3333333333333333,1,0,0,0
RA__cst_plus_lean__01,A,cst_plus_lean,HF-RECALL-A,HF-RECALL,0.0,0,0,0,0
RA__cst_plus_lean__01,A,cst_plus_lean,HF-SEM-RENAME-A,HF-SEM-RENAME,0.3333333333333333,0,1,0,0
RA__cst_plus_lean__01,A,cst_plus_lean,HF-BRIDGE-DYN-LIFT-A,HF-BRIDGE-DYN-LIFT,0.0,0,0,0,0
RA__cst_plus_lean__01,A,cst_plus_lean,HF-GF-PROMOTION-A,HF-GF-PROMOTION,0.0,0,0,0,0
RA__cst_plus_lean__01,A,cst_plus_lean,HF-EXTERNAL-A,HF-EXTERNAL,0.0,0,0,0,0
RA__cst_plus_lean__01,A,cst_plus_lean,HF-BRIDGE-LIFT-DYN-A,HF-BRIDGE-LIFT-DYN,0.0,0,0,0,0
RA__cst_plus_lean__01,A,cst_plus_lean,HF-RECURRENCE-A,HF-RECURRENCE,0.0,0,0,0,0
RA__cst_plus_lean__01,A,cst_plus_lean,HF-GOVERNANCE-A,HF-GOVERNANCE,0.3333333333333333,1,0,0,0
RA__cst_plus_lean__01,A,cst_plus_lean,HF-CONFLATE-A,HF-CONFLATE,0.0,0,0,0,0
RA__direct_graph_plus_lean__01,A,direct_graph_plus_lean,HF-RECURRENCE-A,HF-RECURRENCE,0.0,0,0,0,0
RA__direct_graph_plus_lean__01,A,direct_graph_plus_lean,HF-SEM-RENAME-A,HF-SEM-RENAME,0.3333333333333333,0,1,0,0
RA__direct_graph_plus_lean__01,A,direct_graph_plus_lean,HF-BRIDGE-DYN-LIFT-A,HF-BRIDGE-DYN-LIFT,0.0,0,0,0,0
RA__direct_graph_plus_lean__01,A,direct_graph_plus_lean,HF-GF-PROMOTION-A,HF-GF-PROMOTION,0.0,0,0,0,0
RA__direct_graph_plus_lean__01,A,direct_graph_plus_lean,HF-METRIC-A,HF-METRIC,0.0,0,0,0,0
RA__direct_graph_plus_lean__01,A,direct_graph_plus_lean,HF-REFLECTION-A,HF-REFLECTION,0.0,0,0,0,0
RA__direct_graph_plus_lean__01,A,direct_graph_plus_lean,HF-CONFLATE-A,HF-CONFLATE,0.0,0,0,0,0
RA__direct_graph_plus_lean__01,A,direct_graph_plus_lean,HF-GOVERNANCE-A,HF-GOVERNANCE,0.0,0,0,0,0
RA__direct_graph_plus_lean__01,A,direct_graph_plus_lean,HF-EXTERNAL-A,HF-EXTERNAL,0.0,0,0,0,0
RA__direct_graph_plus_lean__01,A,direct_graph_plus_lean,HF-BRIDGE-LIFT-DYN-A,HF-BRIDGE-LIFT-DYN,0.0,0,0,0,0
RA__direct_graph_plus_lean__01,A,direct_graph_plus_lean,HF-RECALL-A,HF-RECALL,0.0,0,0,0,0
RA__direct_graph_plus_lean__01,A,direct_graph_plus_lean,HF-REGISTER-A,HF-REGISTER,0.0,0,0,0,0
RA__direct_graph_plus_lean__01,A,direct_graph_plus_lean,HF-GF-TARGET-A,HF-GF-TARGET,0.0,0,0,0,0
RA__direct_graph_plus_lean__01,A,direct_graph_plus_lean,HF-ORDER-A,HF-ORDER,0.0,0,0,0,0
RA__equivalent_reencoding__01,A,equivalent_reencoding,HF-EXTERNAL-A,HF-EXTERNAL,0.0,0,0,0,0
RA__equivalent_reencoding__01,A,equivalent_reencoding,HF-REFLECTION-A,HF-REFLECTION,0.0,0,0,0,0
RA__equivalent_reencoding__01,A,equivalent_reencoding,HF-GF-PROMOTION-A,HF-GF-PROMOTION,0.0,0,0,0,0
RA__equivalent_reencoding__01,A,equivalent_reencoding,HF-METRIC-A,HF-METRIC,0.0,0,0,0,0
RA__equivalent_reencoding__01,A,equivalent_reencoding,HF-GOVERNANCE-A,HF-GOVERNANCE,0.0,0,0,0,0
RA__equivalent_reencoding__01,A,equivalent_reencoding,HF-GF-TARGET-A,HF-GF-TARGET,0.0,0,0,0,0
RA__equivalent_reencoding__01,A,equivalent_reencoding,HF-BRIDGE-LIFT-DYN-A,HF-BRIDGE-LIFT-DYN,0.0,0,0,0,0
RA__equivalent_reencoding__01,A,equivalent_reencoding,HF-ORDER-A,HF-ORDER,0.0,0,0,0,0
RA__equivalent_reencoding__01,A,equivalent_reencoding,HF-REGISTER-A,HF-REGISTER,0.0,0,0,0,0
RA__equivalent_reencoding__01,A,equivalent_reencoding,HF-BRIDGE-DYN-LIFT-A,HF-BRIDGE-DYN-LIFT,0.0,0,0,0,0
RA__equivalent_reencoding__01,A,equivalent_reencoding,HF-CONFLATE-A,HF-CONFLATE,0.0,0,0,0,0
RA__equivalent_reencoding__01,A,equivalent_reencoding,HF-SEM-RENAME-A,HF-SEM-RENAME,0.3333333333333333,0,1,0,0
RA__equivalent_reencoding__01,A,equivalent_reencoding,HF-RECURRENCE-A,HF-RECURRENCE,0.3333333333333333,1,0,0,0
RA__equivalent_reencoding__01,A,equivalent_reencoding,HF-RECALL-A,HF-RECALL,0.0,0,0,0,0
RA__prose_only__01,A,prose_only,HF-RECALL-A,HF-RECALL,0.0,0,0,0,0
RA__prose_only__01,A,prose_only,HF-GF-PROMOTION-A,HF-GF-PROMOTION,0.0,0,0,0,0
RA__prose_only__01,A,prose_only,HF-ORDER-A,HF-ORDER,0.0,0,0,0,0
RA__prose_only__01,A,prose_only,HF-GF-TARGET-A,HF-GF-TARGET,0.0,0,0,0,0
RA__prose_only__01,A,prose_only,HF-BRIDGE-DYN-LIFT-A,HF-BRIDGE-DYN-LIFT,0.0,0,0,0,0
RA__prose_only__01,A,prose_only,HF-GOVERNANCE-A,HF-GOVERNANCE,0.3333333333333333,1,0,0,0
RA__prose_only__01,A,prose_only,HF-EXTERNAL-A,HF-EXTERNAL,0.0,0,0,0,0
RA__prose_only__01,A,prose_only,HF-CONFLATE-A,HF-CONFLATE,0.0,0,0,0,0
RA__prose_only__01,A,prose_only,HF-METRIC-A,HF-METRIC,0.0,0,0,0,0
RA__prose_only__01,A,prose_only,HF-BRIDGE-LIFT-DYN-A,HF-BRIDGE-LIFT-DYN,0.0,0,0,0,0
RA__prose_only__01,A,prose_only,HF-REFLECTION-A,HF-REFLECTION,0.0,0,0,0,0
RA__prose_only__01,A,prose_only,HF-SEM-RENAME-A,HF-SEM-RENAME,0.3333333333333333,0,1,0,0
RA__prose_only__01,A,prose_only,HF-RECURRENCE-A,HF-RECURRENCE,0.3333333333333333,1,0,0,0
RA__prose_only__01,A,prose_only,HF-REGISTER-A,HF-REGISTER,0.0,0,0,0,0
RA__registry_only__01,A,registry_only,HF-ORDER-A,HF-ORDER,0.3333333333333333,1,0,0,0
RA__registry_only__01,A,registry_only,HF-REGISTER-A,HF-REGISTER,0.0,0,0,0,0
RA__registry_only__01,A,registry_only,HF-SEM-RENAME-A,HF-SEM-RENAME,0.3333333333333333,0,1,0,0
RA__registry_only__01,A,registry_only,HF-GF-PROMOTION-A,HF-GF-PROMOTION,0.0,0,0,0,0
RA__registry_only__01,A,registry_only,HF-METRIC-A,HF-METRIC,0.0,0,0,0,0
RA__registry_only__01,A,registry_only,HF-CONFLATE-A,HF-CONFLATE,0.0,0,0,0,0
RA__registry_only__01,A,registry_only,HF-RECALL-A,HF-RECALL,0.0,0,0,0,0
RA__registry_only__01,A,registry_only,HF-GOVERNANCE-A,HF-GOVERNANCE,0.3333333333333333,1,0,0,0
RA__registry_only__01,A,registry_only,HF-RECURRENCE-A,HF-RECURRENCE,0.0,0,0,0,0
RA__registry_only__01,A,registry_only,HF-BRIDGE-LIFT-DYN-A,HF-BRIDGE-LIFT-DYN,0.0,0,0,0,0
RA__registry_only__01,A,registry_only,HF-BRIDGE-DYN-LIFT-A,HF-BRIDGE-DYN-LIFT,0.0,0,0,0,0
RA__registry_only__01,A,registry_only,HF-EXTERNAL-A,HF-EXTERNAL,0.0,0,0,0,0
RA__registry_only__01,A,registry_only,HF-REFLECTION-A,HF-REFLECTION,0.0,0,0,0,0
RA__registry_only__01,A,registry_only,HF-GF-TARGET-A,HF-GF-TARGET,0.0,0,0,0,0
